percentCovered	fragmentsCovered	fragmentsAssigned	rankCode	ncbiID	name
 98.83	59732366	59732366	U	0	unclassified
  1.17	707810	0	R	1	root
  1.17	707810	0	R1	131567	  cellular organisms
  1.17	707810	0	D	2	    Bacteria
  1.17	707810	0	P	1224	      Pseudomonadota
  1.17	707810	0	C	28211	        Alphaproteobacteria
  1.17	707810	0	O	766	          Rickettsiales
  1.17	707810	0	F	942	            Anaplasmataceae
  1.17	707810	0	F1	952	              Wolbachieae
  1.17	707810	10914	G	953	                Wolbachia
  1.15	696199	573130	G1	2640676	                  unclassified Wolbachia
  0.09	53620	53620	S	109663	                    Wolbachia endosymbiont of Drosophila mauritiana
  0.01	6334	0	S	77038	                    Wolbachia endosymbiont of Drosophila simulans
  0.01	6334	6334	S1	1236909	                      Wolbachia endosymbiont of Drosophila simulans wHa
  0.01	5351	5351	S	116598	                    Wolbachia endosymbiont of Diaphorina citri
  0.01	3642	3642	S	573241	                    Wolbachia endosymbiont of Oryzaephilus surinamensis
  0.00	2751	2751	S	2748871	                    Wolbachia endosymbiont of Anopheles demeilloni
  0.00	2594	2594	S	2953989	                    Wolbachia endosymbiont (group A) of Calamotropha paludella
  0.00	2392	2392	S	3066134	                    Wolbachia endosymbiont (group A) of Longitarsus flavicornis
  0.00	2188	2188	S	2954066	                    Wolbachia endosymbiont (group B) of Watsonalla binaria
  0.00	1886	1886	S	2954051	                    Wolbachia endosymbiont (group B) of Protocalliphora azurea
  0.00	1761	1761	S	2954015	                    Wolbachia endosymbiont (group A) of Eupithecia tripunctaria
  0.00	1673	1673	S	2954046	                    Wolbachia endosymbiont (group A) of Philonthus cognatus
  0.00	1662	1662	S	2954030	                    Wolbachia endosymbiont (group B) of Melanostoma mellinum
  0.00	1558	1558	S	2954005	                    Wolbachia endosymbiont (group B) of Endotricha flammealis
  0.00	1504	1504	S	215173	                    Wolbachia endosymbiont of Bemisia tabaci
  0.00	1436	1436	S	2954054	                    Wolbachia endosymbiont (group B) of Rhopobota naevana
  0.00	1348	1348	S	2954053	                    Wolbachia endosymbiont (group A) of Rhinocyllus conicus
  0.00	1339	1339	S	2953997	                    Wolbachia endosymbiont (group B) of Chorthippus parallelus
  0.00	1284	1284	S	2954019	                    Wolbachia endosymbiont (group A) of Icerya purchasi
  0.00	1284	1284	S	2954021	                    Wolbachia endosymbiont (group B) of Ischnura elegans
  0.00	1245	1245	S	2953991	                    Wolbachia endosymbiont (group B) of Camptogramma bilineatum
  0.00	1050	1050	S	2953980	                    Wolbachia endosymbiont (group A) of Apoderus coryli
  0.00	1026	1026	S	125593	                    Wolbachia endosymbiont of Trichogramma pretiosum
