percentCovered	fragmentsCovered	fragmentsAssigned	rankCode	ncbiID	name
  0.00	0	0	S	2954061	                    Wolbachia endosymbiont (group A) of Sympetrum striolatum
  0.00	0	0	S	2954060	                    Wolbachia endosymbiont (group A) of Sphecodes monilicornis
  0.00	0	0	S	2954057	                    Wolbachia endosymbiont (group A) of Sphaerophoria taeniata
  0.00	0	0	S	2954039	                    Wolbachia endosymbiont (group B) of Pandemis corylana
  0.00	0	0	S	2954055	                    Wolbachia endosymbiont (group A) of Scambus nigricans
  0.00	0	0	S	2954054	                    Wolbachia endosymbiont (group B) of Rhopobota naevana
  0.00	0	0	S	2954053	                    Wolbachia endosymbiont (group A) of Rhinocyllus conicus
  0.00	0	0	S	2954052	                    Wolbachia endosymbiont (group B) of Pyrgus malvae
  0.00	0	0	S	2954051	                    Wolbachia endosymbiont (group B) of Protocalliphora azurea
  0.00	0	0	S	2954050	                    Wolbachia endosymbiont (group A) of Protocalliphora azurea
  0.00	0	0	S	2954049	                    Wolbachia endosymbiont (group B) of Polyommatus icarus
  0.00	0	0	S	2954046	                    Wolbachia endosymbiont (group A) of Philonthus cognatus
  0.00	0	0	S	2954045	                    Wolbachia endosymbiont (group B) of Pheosia tremula
  0.00	0	0	S	2954044	                    Wolbachia endosymbiont (group A) of Pheosia gnoma
  0.00	0	0	S	2954043	                    Wolbachia endosymbiont (group B) of Phalera bucephala
  0.00	0	0	S	2954042	                    Wolbachia endosymbiont (group A) of Phalera bucephala
  0.00	0	0	S	2954041	                    Wolbachia endosymbiont (group B) of Pararge aegeria
  0.00	0	0	S	2953994	                    Wolbachia endosymbiont (group B) of Celastrina argiolus
  0.00	0	0	S	218111	                    Wolbachia endosymbiont of Corcyra cephalonica
  0.00	0	0	S	1812115	                    Wolbachia endosymbiont of Dirofilaria (Dirofilaria) immitis
  0.00	0	0	S	1812111	                    Wolbachia endosymbiont of Cruorifilaria tuberocauda
  0.00	0	0	S	1633785	                    Wolbachia endosymbiont of Drosophila incompta
  0.00	0	0	S	1335053	                    Wolbachia endosymbiont of Chrysomya megacephala
  0.00	0	0	S	931100	                    Wolbachia endosymbiont of Oedothorax gibbosus
  0.00	0	0	S	573241	                    Wolbachia endosymbiont of Oryzaephilus surinamensis
  0.00	0	0	S	546165	                    Wolbachia endosymbiont of Aedes aegypti
  0.00	0	0	S	502352	                    Wolbachia endosymbiont of Delia radicum
  0.00	0	0	S	497299	                    Wolbachia endosymbiont of Ceratosolen solmsi
  0.00	0	0	S	307502	                    Wolbachia endosymbiont of Drosophila ananassae
  0.00	0	0	S	282263	                    Wolbachia endosymbiont of Drosophila innubila
  0.00	0	0	S	263437	                    Wolbachia endosymbiont of Culex quinquefasciatus
  0.00	0	0	S1	570417	                      Wolbachia endosymbiont of Culex quinquefasciatus Pel
  0.00	0	0	S	260917	                    Wolbachia endosymbiont of Drosophila santomea
